Scanning 127.0.0.1 from port 1 to 65535...
Resolved IP: 127.0.0.1
Port 352: Closed
Port 353: Closed
Port 354: Closed
Port 355: Closed
Port 356: Closed
Port 357: Closed
Port 358: Closed
Port 359: Closed
Port 360: Closed
Port 361: Closed
Port 362: Closed
Port 363: Closed
Port 364: Closed
Port 365: Closed
Port 366: Closed
Port 367: Closed
Port 368: Closed
Port 369: Closed
Port 370: Closed
Port 371: Closed
Port 372: Closed
Port 373: Closed
Port 374: Closed
Port 375: Closed
Port 376: Closed
Port 377: Closed
Port 378: Closed
Port 379: Closed
Port 380: Closed
Port 381: Closed
Port 382: Closed
Port 383: Closed
Port 384: Closed
Port 385: Closed
Port 386: Closed
Port 387: Closed
Port 388: Closed
Port 389: Closed
Port 390: Closed
Port 391: Closed
Port 392: Closed
Port 393: Closed
Port 394: Closed
Port 395: Closed
Port 396: Closed
Port 397: Closed
Port 398: Closed
Port 399: Closed
Port 400: Closed
Port 401: Closed
Port 402: Closed
Port 403: Closed
Port 404: Closed
Port 405: Closed
Port 406: Closed
Port 407: Closed
Port 408: Closed
Port 409: Closed
Port 410: Closed
Port 411: Closed
Port 412: Closed
Port 413: Closed
Port 414: Closed
Port 415: Closed
Port 416: Closed
Port 417: Closed
Port 418: Closed
Port 419: Closed
Port 420: Closed
Port 421: Closed
Port 422: Closed
Port 423: Closed
Port 424: Closed
Port 425: Closed
Port 426: Closed
Port 427: Closed
Port 428: Closed
Port 429: Closed
Port 430: Closed
Port 431: Closed
Port 432: Closed
Port 433: Closed
Port 434: Closed
Port 435: Closed
Port 436: Closed
Port 437: Closed
Port 438: Closed
Port 439: Closed
Port 440: Closed
Port 441: Closed
Port 442: Closed
Port 443: Closed
Port 444: Closed
Port 445: Closed
Port 446: Closed
Port 447: Closed
Port 448: Closed
Port 449: Closed
Port 450: Closed
Port 451: Closed
Port 452: Closed
Port 453: Closed
Port 454: Closed
Port 455: Closed
Port 456: Closed
Port 457: Closed
Port 458: Closed
Port 459: Closed
Port 460: Closed
Port 461: Closed
Port 462: Closed
Port 463: Closed
Port 464: Closed
Port 465: Closed
Port 466: Closed
Port 467: Closed
Port 468: Closed
Port 469: Closed
Port 470: Closed
Port 471: Closed
Port 472: Closed
Port 473: Closed
Port 474: Closed
Port 475: Closed
Port 476: Closed
Port 477: Closed
Port 478: Closed
Port 479: Closed
Port 480: Closed
Port 481: Closed
Port 482: Closed
Port 483: Closed
Port 484: Closed
Port 485: Closed
Port 486: Closed
Port 487: Closed
Port 488: Closed
Port 489: Closed
Port 490: Closed
Port 491: Closed
Port 492: Closed
Port 493: Closed
Port 494: Closed
Port 495: Closed
Port 496: Closed
Port 497: Closed
Port 498: Closed
Port 499: Closed
Port 500: Closed
Port 501: Closed
Port 502: Closed
Port 503: Closed
Port 504: Closed
Port 505: Closed
Port 506: Closed
Port 507: Closed
Port 508: Closed
Port 509: Closed
Port 510: Closed
Port 511: Closed
Port 512: Closed
Port 513: Closed
Port 514: Closed
Port 515: Closed
Port 516: Closed
Port 517: Closed
Port 518: Closed
Port 519: Closed
Port 520: Closed
Port 521: Closed
Port 522: Closed
Port 523: Closed
Port 524: Closed
Port 525: Closed
Port 526: Closed
Port 527: Closed
Port 528: Closed
Port 529: Closed
Port 530: Closed
Port 531: Closed
Port 532: Closed
Port 533: Closed
Port 534: Closed
Port 535: Closed
Port 536: Closed
Port 537: Closed
Port 538: Closed
Port 539: Closed
Port 540: Closed
Port 541: Closed
Port 542: Closed
Port 543: Closed
Port 544: Closed
Port 545: Closed
Port 546: Closed
Port 547: Closed
Port 548: Closed
Port 549: Closed
Port 550: Closed
Port 551: Closed
Port 552: Closed
Port 553: Closed
Port 554: Closed
Port 555: Closed
Port 556: Closed
Port 557: Closed
Port 558: Closed
Port 559: Closed
Port 560: Closed
Port 561: Closed
Port 562: Closed
Port 563: Closed
Port 564: Closed
Port 565: Closed
Port 566: Closed
Port 567: Closed
Port 568: Closed
Port 569: Closed
Port 570: Closed
Port 571: Closed
Port 572: Closed
Port 573: Closed
Port 574: Closed
Port 575: Closed
Port 576: Closed
Port 577: Closed
Port 578: Closed
Port 579: Closed
Port 580: Closed
Port 581: Closed
Port 582: Closed
Port 583: Closed
Port 584: Closed
Port 585: Closed
Port 586: Closed
Port 587: Closed
Port 588: Closed
Port 589: Closed
Port 590: Closed
Port 591: Closed
Port 592: Closed
Port 593: Closed
Port 594: Closed
Port 595: Closed
Port 596: Closed
Port 597: Closed
Port 598: Closed
Port 599: Closed
Port 600: Closed
Port 601: Closed
Port 602: Closed
Port 603: Closed
Port 604: Closed
Port 605: Closed
Port 606: Closed
Port 607: Closed
Port 608: Closed
Port 609: Closed
Port 610: Closed
Port 611: Closed
Port 612: Closed
Port 613: Closed
Port 614: Closed
Port 615: Closed
Port 616: Closed
Port 617: Closed
Port 618: Closed
Port 619: Closed
Port 620: Closed
Port 621: Closed
Port 622: Closed
Port 623: Closed
Port 624: Closed
Port 625: Closed
Port 626: Closed
Port 627: Closed
Port 628: Closed
Port 629: Closed
Port 630: Closed
Port 631: Closed
Port 632: Closed
Port 633: Closed
Port 634: Closed
Port 635: Closed
Port 636: Closed
Port 637: Closed
Port 638: Closed
Port 639: Closed
Port 640: Closed
Port 641: Closed
Port 642: Closed
Port 643: Closed
Port 644: Closed
Port 645: Closed
Port 646: Closed
Port 647: Closed
Port 648: Closed
Port 649: Closed
Port 650: Closed
Port 651: Closed
Port 652: Closed
Port 653: Closed
Port 654: Closed
Port 655: Closed
Port 656: Closed
Port 657: Closed
Port 658: Closed
